,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.06818181818181818
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.15
15,0.0
16,-0.08333333333333333
17,0.0
18,0.0
19,0.0
20,0.3333333333333333
21,0.35497835497835495
22,0.2857142857142857
23,0.0
24,0.0
25,0.0
26,0.275
27,0.35
28,0.0
29,0.0
30,0.6
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.2
38,0.0
39,0.0
40,0.16666666666666666
41,-0.1875
42,0.25
43,0.4
44,0.0
45,0.0
46,0.0
47,-0.1
48,0.5
49,0.0
50,0.4928571428571428
51,0.0
52,0.0
53,0.125
54,0.5
55,0.0
56,0.25
57,0.13636363636363635
58,0.125
59,-0.125
60,0.09523809523809526
61,-0.2
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.2857142857142857
71,0.2
72,0.0
73,0.0
74,0.2
75,0.0
76,0.5
77,0.4
78,0.0
79,0.4875
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.5
87,0.5
88,0.0
89,0.0
90,0.7
91,0.0
92,0.3666666666666667
93,0.0
94,0.0
95,0.0
96,0.11666666666666665
97,0.06818181818181818
98,0.0
99,0.0
100,0.0
101,-0.07500000000000001
102,0.08333333333333333
103,0.1
104,0.275
105,-0.2
106,0.1
107,0.75
108,-0.07500000000000001
109,0.25
110,0.0
111,0.0
112,-0.05
113,0.0
114,-0.19264069264069264
115,0.06818181818181818
116,0.0
117,0.3333333333333333
118,0.78125
119,0.0
120,0.0
121,0.0
122,0.016666666666666666
123,0.2
124,0.0
125,0.0
126,0.9
127,0.0
128,-0.125
129,0.5
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.2857142857142857
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.10416666666666667
149,-0.16666666666666666
150,0.0
151,0.13636363636363635
152,0.0
153,0.1
154,-0.6
155,0.0
156,0.2
157,0.0
158,0.6000000000000001
159,0.0
160,0.5625
161,-0.25
162,0.0
163,0.0
164,1.0
165,0.0
166,0.0
167,0.3
168,0.0
169,0.2
170,0.0
171,0.5
172,0.17045454545454544
173,0.0
174,0.0
175,0.6
176,0.35
177,0.2857142857142857
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.13636363636363635
188,-0.5
189,0.0
190,0.0
191,0.0
192,0.0
193,0.5
194,0.125
195,0.3875
196,-0.24722222222222226
197,-0.2
198,0.13636363636363635
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,-0.1
205,0.0
206,0.0
207,-0.5
208,0.13636363636363635
209,-0.6
210,0.0
211,-0.3068181818181818
212,0.5
213,0.4333333333333333
214,0.0
215,-0.2333333333333333
216,0.0
217,0.2833333333333333
218,0.0722222222222222
219,0.5
220,0.4
221,0.0
222,-0.07500000000000001
223,0.0
224,0.0
225,0.0
226,-0.05
227,0.0
228,0.0
229,0.1
230,0.0
231,0.13636363636363635
232,0.0
233,0.15
234,0.9
235,0.0
236,0.0
237,0.0
238,0.2
239,0.0
240,0.5
241,0.13636363636363635
242,0.25
243,0.0
244,0.0
245,0.0
246,0.0
247,0.25
248,0.0
249,-0.13181818181818183
250,0.1
251,0.0
252,0.0
253,-0.25
254,0.4
255,0.0
256,-0.4
257,0.0
258,0.0
259,0.2857142857142857
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,-0.15000000000000002
266,0.25
267,0.0
268,0.0
269,0.0
270,0.0
271,0.13636363636363635
272,0.2
273,0.1
274,0.4333333333333333
275,0.19166666666666665
276,0.0
277,-0.125
278,0.0
279,0.32499999999999996
280,-0.1
281,0.29375000000000007
282,0.19999999999999998
283,0.0
284,-0.125
285,0.0
286,0.0
287,0.0
288,0.0
289,-0.625
290,0.0
291,0.2
292,0.0
293,0.5
294,0.0
295,0.1
296,0.0
297,0.0
298,0.16666666666666666
299,0.0
300,-0.033333333333333326
301,0.5
302,0.25
303,0.0
304,0.0
305,-0.6
306,0.0
307,0.0
308,0.0
309,0.1
310,0.0
311,0.5
312,0.7
313,0.6
314,-0.6
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.55
323,0.0
324,0.0
325,0.0
326,0.4666666666666667
327,0.2857142857142857
328,0.0
329,0.0
330,0.25
331,0.0
332,-0.425
333,-0.15000000000000002
334,0.08712121212121211
335,0.0
336,0.7
337,0.175
338,0.15277777777777776
339,0.0
340,0.0
341,0.02976190476190476
342,0.0
343,0.0
344,0.0
345,0.15000000000000002
346,0.0
347,0.1
348,0.0
349,0.5
350,0.0
351,0.2
352,0.4375
353,0.0
354,-0.1171875
355,0.0
356,0.13636363636363635
357,0.0
358,0.0
359,0.0
360,0.0
361,1.0
362,-0.1875
363,0.0
364,0.0
365,0.0
366,0.5
367,0.0
368,0.0
369,0.6
370,0.0
371,0.0
372,0.55
373,-0.25
374,-0.3125
375,-0.125
376,0.0
377,0.375
378,0.0
379,-0.25
380,0.0
381,-0.05714285714285716
382,0.0
383,0.0
384,0.06818181818181818
385,-0.4
386,0.0
387,0.0
388,-0.09375
389,0.625
390,-0.20833333333333331
391,0.6
392,0.0
393,0.0
394,0.1
395,-0.10000000000000002
396,0.0
397,0.0
398,0.0
399,0.5
400,0.0
401,0.03333333333333333
402,0.8
403,0.13333333333333333
404,0.0
405,0.0
406,0.0
407,0.10497835497835499
408,0.5
409,0.0
410,-0.07500000000000001
411,1.0
412,0.5
413,0.0
414,0.0
415,0.6
416,-0.15
417,0.0
418,0.0
419,0.0
420,-0.09591450216450219
421,-0.05
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,-0.3888888888888889
432,0.65
433,0.0
434,-0.2
435,0.0
436,-0.5
437,0.0
438,0.0
439,0.0
440,0.018181818181818174
441,0.0
442,0.0
443,0.25
444,0.0
445,0.0
446,0.1288888888888889
447,0.25
448,0.0
449,0.10208333333333333
450,0.0
451,0.0
452,-0.2
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.5
459,0.0
460,-0.5
461,0.0
462,0.0
463,0.0
464,0.8
465,0.625
466,0.0
467,-0.9375
468,0.0
469,0.41666666666666663
470,0.0
471,0.23484848484848483
472,0.2
473,0.25
474,0.0
475,0.4
476,0.0
477,0.050000000000000024
478,0.0
479,0.5
480,0.0
481,-0.125
482,0.0
483,0.0
484,1.0
485,0.16666666666666666
486,0.31666666666666665
487,0.375
488,0.2
489,0.0
490,1.0
491,-0.2
492,0.35
493,0.625
494,0.0
495,0.0
496,0.0
