,0
0,-0.125
1,0.4000000000000001
2,-0.625
3,-0.5
4,0.0
5,0.0
6,0.0
7,0.0
8,0.2
9,0.2
10,0.39285714285714285
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.7
17,0.0
18,-0.5
19,0.0
20,0.0
21,0.5
22,0.0
23,0.0
24,0.0
25,0.271875
26,0.5
27,0.4681818181818182
28,0.0
29,0.0
30,0.1
31,0.0
32,0.6
33,0.0
34,0.26666666666666666
35,0.0
36,-0.1
37,0.5
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.5
46,0.1
47,0.3625
48,0.0
49,-0.15416666666666667
50,0.0
51,0.0
52,0.375
53,0.2
54,0.5
55,0.0
56,0.0
57,0.0
58,0.0
59,0.2
60,0.0
61,0.0
62,-0.05982142857142858
63,0.0
64,0.0
65,0.2
66,0.7
67,0.0
68,-0.2916666666666667
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,-0.1
75,0.25
76,0.0
77,0.44999999999999996
78,0.0
79,0.0
80,0.1
81,0.0
82,-0.04583333333333333
83,0.0
84,0.39999999999999997
85,0.13636363636363635
86,0.0
87,0.2333333333333333
88,0.8
89,0.625
90,0.0
91,0.375
92,0.25
93,0.0
94,0.0
95,0.13636363636363635
96,0.2
97,0.0
98,0.34722222222222215
99,0.08333333333333333
100,0.0
101,-0.1
102,0.0
103,0.0
104,0.0
105,-0.3666666666666667
106,0.0
107,0.7
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,-0.75
114,0.0
115,0.5
116,0.4965909090909091
117,0.2
118,0.5
119,0.0
120,0.0
121,0.0
122,-0.10714285714285715
123,0.36818181818181817
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.25
131,0.1
132,0.125
133,1.0
134,0.0
135,0.75
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.35
142,0.42500000000000004
143,0.0
144,0.0
145,0.0
146,0.0
147,0.4
148,0.375
149,0.25
150,0.0
151,0.0
152,0.4083333333333333
153,0.0
154,-0.1
155,0.3
156,0.0
157,0.7
158,-0.07142857142857142
159,0.0
160,1.0
161,0.0
162,0.0
163,0.25
164,0.0
165,-0.75
166,0.2
167,0.0
168,0.0
169,0.0
170,0.0
171,0.35
172,0.0
173,-0.0625
174,0.25
175,0.04642857142857142
176,-0.16666666666666666
177,0.0
178,0.3125
179,-0.3
180,0.5
181,-0.7
182,-0.125
183,0.44642857142857145
184,0.0
185,-0.07142857142857142
186,0.6
187,0.0
188,0.11111111111111112
189,1.0
190,0.0
191,0.0
192,0.875
193,0.35
194,0.13636363636363635
195,0.0
196,0.0
197,0.0
198,0.5
199,0.0
200,0.6
201,0.425
202,0.5
203,0.0
204,0.0
205,0.6000000000000001
206,0.875
207,0.05
208,0.25
209,0.0
210,0.3333333333333333
211,-0.3666666666666667
212,0.0
213,0.0
214,0.0
215,0.0
216,-0.2277777777777778
217,0.0
218,0.0
219,0.0
220,0.3125
221,0.0
222,-0.4
223,0.2
224,0.0
225,0.4
226,0.0
227,0.0
228,0.0
229,0.4125
230,-0.33333333333333337
231,0.0
232,0.8
233,0.0
234,0.6
235,-0.07777777777777778
236,0.0
237,0.0
238,0.0
239,0.0
240,-0.3
241,-0.25
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,-0.016666666666666677
249,0.0
250,0.0
251,-0.5
252,0.0
253,0.0
254,0.31666666666666665
255,0.13636363636363635
256,0.5
257,0.11818181818181818
258,-0.6999999999999998
259,0.05
260,0.3
261,0.0
262,0.0
263,-0.7
264,0.0
265,0.0
266,0.0
267,0.75
