borough,block,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,"TYPE(1:res,2:com,3:mix)",grid_x,grid_y
1,389,2271,7860,1939,6350000,3,472,527
1,389,2271,7860,1939,6350000,3,472,527
1,390,17843,65832,2001,44000000,3,475,527
1,390,1218,3586,1899,3700000,3,475,527
1,390,17843,65832,2001,44000000,3,475,527
1,390,1218,3586,1899,3700000,3,475,527
1,391,1520,3360,1910,3300000,3,474,529
1,391,1520,3360,1910,3300000,3,474,529
1,393,3792,17279,1910,14400000,3,475,532
1,393,3792,17279,1910,14400000,3,475,532
1,399,2212,7803,1900,6300000,3,468,524
1,399,2212,7803,1900,6300000,3,468,524
1,400,3717,12350,2009,10350000,3,467,526
1,400,3717,12350,2009,10350000,3,467,526
1,401,1896,5876,1900,5650000,3,468,528
1,401,1896,5876,1900,5650000,3,468,528
1,402,2272,6794,1913,3936272,3,470,528
1,402,2272,6794,1913,3936272,3,470,528
1,404,2369,7100,1910,11400000,3,473,534
1,404,2369,4615,1900,8000000,3,473,534
1,404,2369,7100,1910,11400000,3,473,534
1,404,2369,4615,1900,8000000,3,473,534
1,406,1750,4226,1920,3192840,3,473,537
1,406,1750,4226,1920,3192840,3,473,537
1,409,3372,5930,1920,9000000,3,459,513
1,409,3372,5930,1920,9000000,3,459,513
1,411,2250,9150,1900,15500000,3,461,519
1,411,2003,13000,2007,15500000,3,461,519
1,411,2250,9150,1900,15500000,3,461,519
1,411,2003,13000,2007,15500000,3,461,519
1,415,2214,39064,2009,30750000,3,456,515
1,415,2214,39064,2009,30750000,3,456,515
1,420,25010,150000,1900,116000000,3,454,517
1,420,25010,150000,1900,116000000,3,454,517
1,426,2483,8540,1900,8000000,3,452,521
1,426,2483,8540,1900,8000000,3,452,521
1,435,1829,7020,1900,6400000,3,467,531
1,435,1829,7020,1900,6400000,3,467,531
1,436,3522,13405,1920,11535000,3,466,534
1,436,3522,13405,1920,11535000,3,466,534
1,437,2975,9634,1900,649740,3,468,534
1,437,2975,9634,1900,1416950,3,468,534
1,437,2975,9634,1900,1950000,3,468,534
1,437,2306,7240,1920,6000000,3,468,534
1,437,2975,9634,1900,649740,3,468,534
1,437,2975,9634,1900,1416950,3,468,534
1,437,2975,9634,1900,1950000,3,468,534
1,437,2306,7240,1920,6000000,3,468,534
1,438,2369,9015,1900,5000000,3,469,536
1,438,2369,9015,1900,5000000,3,469,536
1,439,2500,6452,1900,13000000,3,468,537
1,439,2500,6452,1900,13000000,3,468,537
1,442,2144,7495,1920,5381394,3,457,525
1,442,2144,7495,1920,5381394,3,457,525
1,444,3806,17310,1910,58000000,3,459,527
1,444,3806,17310,1910,58000000,3,459,527
1,445,1440,5772,1901,6900000,3,461,527
1,445,1440,5772,1901,6900000,3,461,527
1,446,2400,4812,1915,5125000,3,461,530
1,446,2400,4812,1915,5125000,3,461,530
1,447,4850,19894,1900,19000000,3,461,532
1,447,2425,6750,1900,6911000,3,461,532
1,447,2425,6750,1900,4500000,3,461,532
1,447,4850,19894,1900,19000000,3,461,532
1,447,2425,6750,1900,6911000,3,461,532
1,447,2425,6750,1900,4500000,3,461,532
1,448,1635,4748,1900,7920400,3,461,533
1,448,2271,8920,1900,1600000,3,461,533
1,448,1635,4748,1900,7920400,3,461,533
1,448,2271,8920,1900,1600000,3,461,533
1,449,3334,16060,1930,16100000,3,461,534
1,449,2437,10905,1900,12326000,3,461,534
1,449,3334,14131,1920,9100000,3,461,534
1,449,3334,16060,1930,16100000,3,461,534
1,449,2437,10905,1900,12326000,3,461,534
1,449,3334,14131,1920,9100000,3,461,534
1,450,2348,9546,1920,7500000,3,464,534
1,450,2348,9546,1920,7500000,3,464,534
1,451,2306,6285,1900,7000000,3,465,535
1,451,2306,6285,1900,7000000,3,465,535
1,452,2369,10470,1900,10025000,3,464,539
1,452,2369,10470,1900,10025000,3,464,539
1,454,2168,8090,1900,7000000,3,467,541
1,454,2168,8090,1900,7000000,3,467,541
1,459,3847,3140,1900,11500000,3,455,531
1,459,3847,3140,1900,11500000,3,455,531
1,463,1840,7692,1900,8300000,3,460,535
1,463,1950,8110,1900,8150000,3,460,535
1,463,1950,7430,1900,5750000,3,460,535
1,463,1875,5520,1900,6200000,3,460,535
1,463,3120,10036,1900,10000000,3,460,535
1,463,1840,7692,1900,8300000,3,460,535
1,463,1950,8110,1900,8150000,3,460,535
1,463,1950,7430,1900,5750000,3,460,535
1,463,1875,5520,1900,6200000,3,460,535
1,463,3120,10036,1900,10000000,3,460,535
1,467,2485,8963,1910,2750000,3,461,542
1,467,2485,8963,1910,2750000,3,461,542
1,471,1220,5700,1910,9700000,3,444,517
1,471,1220,5700,1910,9700000,3,444,517
1,474,11067,47621,1900,13226118,3,438,522
1,474,11067,47621,1900,13226118,3,438,522
1,476,2506,10150,1900,12100000,3,432,523
1,476,2506,10150,1900,12100000,3,432,523
1,478,940,2660,1900,2100000,3,450,518
1,478,940,2660,1900,2100000,3,450,518
