borough,block,longitude,latitude
SI,3120,-74.0643724075,40.5971600151
SI,1438,-74.1434308607,40.6241215972
SI,182,-74.113888425,40.6307369385
QN,4987,-73.8187201216,40.7676213166
QN,9423,-73.8370229216,40.6856840213
QN,7406,-73.7796551976,40.7469711359
QN,7681,-73.7522829026,40.7431379723
QN,8790,-73.7076449754,40.7368332579
QN,11715,-73.8156517213,40.6751927648
QN,15821,-73.7617808367,40.5935447595
SI,6048,-74.195328452,40.5446393659
SI,2274,-74.1381422063,40.5754407922
SI,4608,-74.1489908544,40.559176917
QN,4644,-73.817597796,40.7874632899
QN,16238,-73.8463767894,40.5747323763
SI,278,-74.1065810086,40.6250767861
SI,4433,-74.1400086014,40.5693748439
SI,5224,-74.1534228672,40.5468632216
QN,11051,-73.7443268341,40.6985186866
SI,6257,-74.1784973791,40.5410075702
SI,221,-74.1207572389,40.6306565793
QN,8804,-73.7058642437,40.7346740116
QN,8776,-73.7043287139,40.7396211385
QN,10501,-73.7728490944,40.7175775843
QN,13286,-73.7730997591,40.6634787636
SI,1218,-74.1575900524,40.6307236101
QN,3731,-73.8963251355,40.6939681917
QN,4475,-73.8198133767,40.7931081856
QN,10661,-73.7446722667,40.7258319205
SI,1270,-74.1680436538,40.6289500586
QN,10480,-73.755266278,40.7151918223
QN,9251,-73.8222123042,40.7048012637
QN,10690,-73.7481329488,40.7294938049
QN,12033,-73.7991601679,40.6753419173
SI,2090,-74.1474067375,40.6076052693
SI,580,-74.0857817924,40.6304670402
SI,1654,-74.1628029205,40.6208466489
SI,28,-74.0828894313,40.642452829
QN,9514,-73.8326034559,40.6848849308
QN,9645,-73.8163368579,40.7066315376
QN,11695,-73.8071428207,40.6761652371
SI,781,-74.1371819206,40.6041388222
SI,247,-74.1017678996,40.618180824
QN,10133,-73.7981256446,40.6946898617
QN,13252,-73.7287325249,40.6670686207
QN,15802,-73.7598280497,40.5957775159
QN,11787,-73.810794694,40.6691265123
SI,3060,-74.0806628006,40.6032406098
SI,2370,-74.1474096662,40.5857683852
QN,3687,-73.8804875136,40.7041557811
QN,3574,-73.9014530518,40.6998240901
QN,3515,-73.8979253082,40.7026645413
QN,10428,-73.7652977708,40.6990696982
QN,10967,-73.7468812839,40.7052696672
QN,16261,-73.8571827074,40.5763487496
QN,10970,-73.7600224546,40.7012666352
BK,2648,-73.9497996602,40.7254439319
BK,4654,-73.9317714176,40.6543147149
BK,3385,-73.9098916414,40.6953427516
BK,3073,-73.9382438889,40.7067040344
BK,5964,-74.017329237,40.6239441729
BK,1024,-73.9846360906,40.6666044447
BK,2016,-73.9579832953,40.6809880578
BK,3988,-73.8816644744,40.6756722088
BX,3765,-73.864796788,40.831294018
BX,4157,-73.8341835478,40.8443913232
BK,399,-73.9869911996,40.6831199415
BK,4973,-73.9394046443,40.6410937088
SI,4509,-74.1478046349,40.5627958014
BX,2785,-73.9123712217,40.8355181274
BK,237,-73.9928439318,40.6960213564
BK,1293,-73.9412008758,40.6662207045
SI,7664,-74.220005304,40.5193035011
SI,5603,-74.1704965216,40.5502970916
BK,2653,-73.9457732097,40.7269781275
BK,2320,-73.9562699275,40.7177573482
BK,3306,-73.9190167101,40.6964358145
BX,3483,-73.8473498854,40.8136063149
BX,5852,-73.8978652072,40.9036582892
BK,3271,-73.9164916085,40.7036381195
MN,904,-73.9810926616,40.7387558222
BX,5820,-73.9030903708,40.8961382028
BK,2090,-73.9714432974,40.6904605703
MN,1009,-73.9792517315,40.7650449155
BX,5626,-73.7852797438,40.8417774415
BX,4899,-73.8442935714,40.8817083134
BK,1685,-73.9325557417,40.6804346047
BK,6020,-74.0212049871,40.6208218036
BK,5290,-73.9882997891,40.6423208924
BK,5966,-74.0360112642,40.6306600025
BK,5729,-74.0068607005,40.6316977278
MN,2062,-73.9445103096,40.8263626847
BX,4409,-73.8344322226,40.8604966373
BX,4921,-73.8379635352,40.8849683445
BX,4453,-73.8549686797,40.8626077643
BX,5386,-73.8352823339,40.8428378328
BK,1238,-73.9556276407,40.6738630135
MN,2063,-73.9453428589,40.8272079235
MN,894,-73.9785243924,40.7496016645
MN,572,-73.9974781625,40.7334342249
MN,440,-73.9827947434,40.7303246447
MN,1947,-73.9553936994,40.8082021306
BX,5853,-73.89893885,40.9048914467
BK,2649,-73.9487280661,40.7252973529
BK,2692,-73.938230126,40.7240612646
BK,6182,-73.9949452716,40.6163774534
BK,6596,-73.9840371263,40.6081093865
MN,883,-73.9816414871,40.7422251534
MN,2081,-73.9464795696,40.8288234828
MN,2161,-73.9279933007,40.8554763857
BK,5157,-73.9646438575,40.6393835095
BK,6713,-73.9644685095,40.6239083081
MN,857,-73.986340756,40.7438841894
BX,4653,-73.8648449661,40.8861752528
BK,1522,-73.9091679997,40.6816770625
MN,2041,-73.9461104741,40.8184309322
MN,2075,-73.9504437218,40.8254688517
BX,5101,-73.8555700673,40.9059076683
BK,1795,-73.9440111259,40.6896070618
BK,1487,-73.9215568383,40.6859036146
BK,5336,-73.977280206,40.6438365122
BK,5860,-74.0333249435,40.6382541937
MN,1406,-73.961877028,40.7698126243
BX,2436,-73.9122677656,40.8338020651
BX,2784,-73.9091912955,40.8377904722
BX,2975,-73.8924344544,40.8288342409
BX,2980,-73.8908891328,40.8304398141
BX,3736,-73.8817997474,40.827132861
BX,5348,-73.8365939768,40.8371431842
BX,4698,-73.8540331637,40.8779398545
BK,1150,-73.9732886874,40.6791887596
BK,1814,-73.9456136964,40.6861365303
BK,4826,-73.9343530683,40.6602210869
BX,2844,-73.9144080704,40.8409649309
BK,985,-73.9827431521,40.671274682
BK,782,-74.0131868983,40.647657664
BX,3768,-73.861710933,40.8320592184
BX,2369,-73.9092793702,40.8260237138
BX,4317,-73.8681931732,40.8562739211
BK,286,-73.9934187958,40.689608893
QN,9574,-73.8226003703,40.6861803754
QN,13084,-73.7558874114,40.6672746368
QN,11599,-73.8221471013,40.6818107242
QN,12605,-73.7595636887,40.6906069047
SI,1077,-74.1345280128,40.6371344838
QN,9735,-73.8058950088,40.7105479482
QN,10664,-73.7418847893,40.727018193
QN,13657,-73.7359747845,40.6511601283
SI,185,-74.1309455442,40.640635587
QN,5436,-73.8091713603,40.754475214
QN,6351,-73.8337146733,40.7471786533
QN,3407,-73.9084986241,40.7056467842
QN,8951,-73.8641830221,40.6872754945
QN,11455,-73.8570583335,40.6623062282
QN,11427,-73.8541710004,40.6669642305
SI,102,-74.1054304221,40.6378887377
SI,5642,-74.1740784116,40.5552442864
QN,7466,-73.7623896987,40.7483312541
QN,11044,-73.7497989274,40.6969443387
QN,14238,-73.8292262922,40.656053925
QN,12015,-73.7975208086,40.6773966612
SI,757,-74.1243755377,40.6031431558
SI,5261,-74.154415538,40.542514924
SI,5223,-74.1544224986,40.5482956781
QN,7277,-73.7762748371,40.7250539905
QN,4546,-73.8065358935,40.7926076457
QN,3451,-73.9073510478,40.700094045
QN,9308,-73.8422808271,40.6917860653
QN,8374,-73.724868906,40.754681398
QN,12394,-73.7767622893,40.6904166069
SI,5668,-74.1801511353,40.5509134321
QN,5493,-73.8038939346,40.750690152
QN,6386,-73.8280730921,40.7415241615
QN,9336,-73.8231542437,40.7003364263
QN,14068,-73.8455574293,40.650602094
QN,13471,-73.7565669237,40.6606726833
QN,12771,-73.7285405069,40.6897180424
SI,5115,-74.1397806848,40.5511663943
SI,698,-74.1183275485,40.6026208189
QN,3398,-73.9151390566,40.7100811364
QN,5269,-73.8102691534,40.7636094191
BK,6611,-73.9697478332,40.61050346
BK,3982,-73.8867475527,40.6751376211
BK,6821,-73.9547858453,40.6051230163
BK,8221,-73.899394405,40.6393824568
QN,6975,-73.801545594,40.7278198066
QN,1170,-73.8926703588,40.7566717995
QN,2879,-73.8791376316,40.7328567728
QN,10659,-73.7470847426,40.7257537703
QN,11683,-73.8116217248,40.6768219195
QN,12008,-73.7930419947,40.6819270843
SI,2844,-74.070798172,40.6170687314
SI,5479,-74.1607629529,40.5606377481
BK,7759,-73.9226037078,40.6320185693
BK,8528,-73.9250628019,40.6113186882
QN,6731,-73.8145874593,40.7394315796
QN,9851,-73.7954441802,40.7124563377
BX,4104,-73.8537518523,40.8483615119
BX,3784,-73.8683727969,40.8318636459
BX,2744,-73.8913579996,40.8266941212
BK,1110,-73.9787684763,40.6595413188
BK,1319,-73.9557546479,40.6621765666
BK,1667,-73.9265346272,40.6841903614
BK,6600,-73.9800083394,40.6088292543
BK,6768,-73.9524857593,40.6131560136
BK,436,-73.9920549945,40.6804669639
BK,1624,-73.9382517398,40.6884864662
BK,5457,-73.9779224962,40.6260155434
QN,10247,-73.7840408435,40.7000939295
SI,410,-74.1363183193,40.6193264729
SI,4478,-74.1372275157,40.564002064
BK,7604,-73.9537825967,40.6250251409
QN,11019,-73.7515582973,40.6994907723
QN,9285,-73.819446521,40.7034034141
QN,10551,-73.7512718635,40.7167399982
BX,2705,-73.896445492,40.8258922473
BX,2627,-73.9074557775,40.8221408358
MN,1185,-73.9823725212,40.7829683392
BK,225,-73.9945750549,40.6992915689
BK,1977,-73.9663769912,40.683858714
BK,4230,-73.8733403301,40.6744009807
BK,5947,-74.034335688,40.6321609421
BK,5885,-74.0301862019,40.6355233218
BK,6567,-73.9704121371,40.6159361915
BK,6364,-74.0062200397,40.6087238845
BK,798,-74.0141859749,40.6464409869
BK,4658,-73.9283049811,40.6549992709
BK,8413,-73.9066633508,40.6204753419
BK,5784,-74.0130883388,40.6375023282
BK,6462,-74.0096631182,40.6032860042
QN,10488,-73.7607852047,40.716808889
SI,37,-74.0821608366,40.6385800778
SI,1574,-74.1682851778,40.611726577
SI,4053,-74.1090383291,40.561913566
QN,784,-73.9017459319,40.7721540906
QN,3454,-73.9084299315,40.7038400968
QN,2649,-73.9093995437,40.7160516227
QN,10220,-73.7852626479,40.7045603351
QN,10199,-73.7834551015,40.6940118365
QN,8712,-73.7138230316,40.7429753569
BX,4254,-73.8677279925,40.8476011213
BX,2700,-73.8973938509,40.824684628
BK,951,-73.9756047139,40.675728302
BK,7378,-73.9531625417,40.5965414785
BK,8228,-73.8945765535,40.6434615133
BK,190,-73.9848957841,40.6860686195
BK,6672,-73.9806694154,40.6022840132
QN,5243,-73.8060134065,40.7670198994
QN,3682,-73.8844344132,40.7031455779
QN,1374,-73.8740823341,40.7616000841
QN,10938,-73.7582445578,40.7054375342
QN,8201,-73.7379559671,40.7614903687
QN,12297,-73.7779810691,40.6718976906
QN,16202,-73.8424896744,40.5811564694
QN,9548,-73.829604633,40.6804261393
SI,839,-74.0997840278,40.6044893044
SI,1801,-74.1956564845,40.6034059364
SI,7865,-74.2403764886,40.5036579266
SI,6725,-74.2020641256,40.5141750363
QN,1695,-73.8677782726,40.7586496192
BK,7659,-73.951054224,40.6175057585
QN,807,-73.9053520046,40.7740075539
QN,3537,-73.8962453736,40.7016176296
QN,3408,-73.9078656021,40.7050996037
BX,4544,-73.8690591676,40.8702990245
BX,4824,-73.863805037,40.8871453857
BK,6424,-74.0148744618,40.6086743377
BK,8246,-73.8930261604,40.6413911988
BK,4976,-73.9364837617,40.6394492811
BK,5498,-73.9863587204,40.6238048837
BK,6163,-73.9881996015,40.6136739261
QN,4820,-73.8141621235,40.7739093649
QN,3591,-73.894523176,40.6995326487
QN,12331,-73.7814356016,40.689487961
SI,2242,-74.1275722749,40.575528174
QN,1388,-73.8778745076,40.7606563061
QN,9590,-73.8143694388,40.6891581351
QN,9859,-73.7968417376,40.715367827
BX,5450,-73.8140159919,40.8185435361
BK,966,-73.9783185775,40.6725149818
BK,6306,-74.0043566878,40.6119114767
BK,8714,-73.9548422849,40.5796525792
BX,4973,-73.8281836456,40.8896496954
BK,2328,-73.9578356006,40.7171778867
QN,1341,-73.9004234077,40.7422081255
QN,5214,-73.8140140274,40.7525741024
QN,10665,-73.7423537943,40.7286417749
SI,150,-74.111797841,40.6423739232
QN,10733,-73.7338310848,40.7234874354
QN,10219,-73.7836341239,40.7062680676
BX,3384,-73.866405341,40.8977556263
BK,4739,-73.9255238152,40.6471846588
BK,7403,-73.9518881607,40.5943506536
BK,7879,-73.9222822547,40.6203049737
BK,7752,-73.9297152773,40.6316275675
BK,3163,-73.930618576,40.7000124076
BK,6043,-74.0314006316,40.6230087316
BK,5239,-73.9598662114,40.635006394
BK,6164,-73.9847979439,40.6120697048
BK,5926,-74.0338938975,40.6333011235
BK,7294,-73.956176727,40.6020749355
QN,2694,-73.90584887,40.7214633855
QN,1601,-73.8687315268,40.7447355505
QN,6950,-73.7945381507,40.7325471566
QN,5510,-73.7943147255,40.7563976134
QN,5216,-73.8164765074,40.7488033329
QN,10544,-73.7500433875,40.7158674116
QN,8650,-73.7107913497,40.7286682435
QN,12481,-73.7662529217,40.6846350702
QN,13605,-73.7288200024,40.6599472371
MN,606,-74.0005701473,40.7362780446
QN,1978,-73.8605629991,40.7474647609
QN,1638,-73.8684440327,40.7670452475
QN,10213,-73.7868610789,40.7074781175
BX,5410,-73.8213632498,40.8415035464
BK,3434,-73.907667918,40.6875957751
BK,2943,-73.9296452412,40.7133610348
BK,6723,-73.9626618473,40.6213416367
BK,6639,-73.9650321185,40.6080821556
BK,7624,-73.9514390155,40.6226243449
BK,5353,-73.9782915238,40.6425227798
BK,7744,-73.9374338597,40.6314760721
BK,7670,-73.9407293811,40.6191348053
QN,9274,-73.829875592,40.701023891
SI,4583,-74.1481971458,40.5629163868
SI,5195,-74.1396988823,40.5458350738
QN,865,-73.9184214824,40.776052442
QN,5239,-73.8101985009,40.7681627671
QN,5660,-73.7871475916,40.7452828898
QN,7834,-73.7455613573,40.7398871645
BX,5118,-73.8472279935,40.9046377208
BX,5419,-73.8260122186,40.8323078994
BK,1138,-73.9653301187,40.679207062
BK,1315,-73.9533295095,40.6630751785
BK,5701,-74.0054461661,40.6347738847
BK,8474,-73.9372325615,40.6093630249
BK,5074,-73.9670205653,40.6493570248
BK,5838,-74.0292388326,40.6404426145
BK,6039,-74.0193960302,40.6179103153
BK,8068,-73.8990753711,40.633578778
QN,1981,-73.8614275305,40.7455593338
QN,3717,-73.8916295787,40.6976576354
QN,10301,-73.7727297704,40.6955321741
QN,9724,-73.8118314669,40.7080458666
SI,606,-74.1002604955,40.6164415754
QN,12515,-73.7697799715,40.6822469292
QN,12270,-73.7794129785,40.6771535471
SI,8013,-74.2393847291,40.5160964241
MN,1869,-73.9697472958,40.7951785521
QN,339,-73.9318806978,40.75873098
QN,1852,-73.8721600212,40.7403010261
QN,3144,-73.8595993937,40.7184145429
QN,2146,-73.8519429149,40.7342284102
QN,7601,-73.7652326913,40.7458554636
BX,5399,-73.829573196,40.8423975831
BK,1091,-73.9786013374,40.6658450012
BK,7897,-73.924254702,40.6169842005
BK,7422,-73.9493630015,40.5924625489
BK,4302,-73.8895918603,40.6628128241
BK,2657,-73.9422341962,40.7262150826
BK,8050,-73.9049277205,40.6330626229
BK,8275,-73.8957253014,40.6329381004
QN,632,-73.9160757027,40.7686721326
QN,6816,-73.810296441,40.720541009
QN,8870,-73.8530911682,40.6937068521
QN,11800,-73.8260308608,40.6713681514
QN,11736,-73.823646383,40.6726081554
