type[com/res/mix],borough,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,# of bus_stop,# of subway_station,# of FELONY,# of VIOLATION,# of MISDEMEANOR,total # of poi,poi type 1,poi type 2,poi type 3,poi type 4,poi type 5,poi type 6,poi type 7,poi type 8,poi type 9,poi type 10,poi type 11,poi type 12,poi type 13,# of roads,total width of raods
1,3,2200,1500,1910,550000,8,0,1116,634,1903,41,8,6,6,6,1,1,6,1,3,1,2,0,0,278,9557
1,3,1158,960,1930,550500,16,2,1471,715,2371,57,10,4,15,3,3,1,5,1,7,5,2,0,1,275,9514
1,3,1250,960,1930,400000,16,2,1471,715,2371,57,10,4,15,3,3,1,5,1,7,5,2,0,1,275,9514
1,3,1175,960,1930,430000,16,2,1471,715,2371,57,10,4,15,3,3,1,5,1,7,5,2,0,1,275,9514
1,3,1713,714,1910,320000,14,0,1255,662,2216,38,9,5,7,6,0,0,4,1,3,1,2,0,0,261,8954
1,3,1800,1600,1915,350000,14,0,1255,662,2216,38,9,5,7,6,0,0,4,1,3,1,2,0,0,261,8954
1,3,3600,1320,1910,463224,14,0,1255,662,2216,38,9,5,7,6,0,0,4,1,3,1,2,0,0,261,8954
2,3,2000,2200,1931,700000,14,2,1525,685,2358,62,9,8,20,4,1,1,5,1,6,5,1,0,1,267,9247
1,3,4000,1558,1925,1215000,14,2,1525,685,2358,62,9,8,20,4,1,1,5,1,6,5,1,0,1,267,9247
1,3,2000,1080,1901,300000,16,2,1488,746,2465,53,8,7,12,3,1,1,5,1,7,5,2,0,1,268,9343
1,3,2000,756,1899,675000,16,2,1488,746,2465,53,8,7,12,3,1,1,5,1,7,5,2,0,1,268,9343
1,3,1800,2065,1945,615000,10,0,1145,669,1909,45,8,7,6,7,1,1,7,1,3,2,2,0,0,255,8839
2,3,10028,7072,1931,4500000,10,0,1145,669,1909,45,8,7,6,7,1,1,7,1,3,2,2,0,0,255,8839
2,3,1393,2480,1930,800000,8,1,1402,701,2131,61,10,6,22,5,1,1,5,1,4,4,1,0,1,258,8832
1,3,2000,1648,1945,450000,14,0,1374,738,2299,39,10,6,3,6,2,1,4,0,4,1,2,0,0,264,8882
2,3,14535,14020,1930,3500000,13,2,1564,699,2348,62,6,8,21,4,0,1,5,1,4,5,6,0,1,264,9061
1,3,2576,1312,1935,325000,9,0,1106,579,1786,44,9,10,10,2,0,1,5,0,2,1,4,0,0,252,8554
1,3,2075,1472,1920,500000,10,0,1314,677,2064,30,10,8,1,4,0,0,2,0,2,0,3,0,0,264,8759
1,3,2666,1496,1925,800000,13,2,1603,774,2535,57,9,8,17,5,1,1,5,0,4,5,1,0,1,259,8814
2,3,2408,1360,1925,1600000,13,2,1603,774,2535,57,9,8,17,5,1,1,5,0,4,5,1,0,1,259,8814
1,3,2220,2234,1925,540000,13,2,1364,667,2190,47,7,9,11,4,1,1,4,0,3,4,2,0,1,246,8338
2,3,2071,1392,1930,525000,12,2,1349,648,2227,47,8,9,12,3,0,1,5,0,2,4,2,0,1,245,8267
1,3,2080,2056,1945,565000,8,0,1062,544,1721,38,9,9,7,2,0,1,5,0,1,1,3,0,0,238,8085
1,3,2080,2056,1945,201303,8,0,1062,544,1721,38,9,9,7,2,0,1,5,0,1,1,3,0,0,238,8085
1,3,1800,1683,1945,242500,0,1,0,9,0,1194,599,1932,35,10,8,5,5,0,0,3,3,0,0,262,8712
1,3,1960,1482,1910,460000,11,2,1400,668,2284,42,6,7,11,3,1,1,4,0,4,2,2,0,1,235,8026
1,3,2000,1312,1920,500000,9,1,1125,552,1762,29,4,6,6,2,0,1,3,0,2,2,3,0,0,225,7718
1,3,2025,1360,1920,460000,7,0,1003,497,1571,31,6,7,6,2,0,1,3,0,2,1,3,0,0,235,8034
1,3,4040,8265,1930,3650000,1,0,0,4,0,931,469,1519,24,8,5,2,2,0,1,3,2,0,0,227,7649
1,3,2000,1608,1915,365040,7,0,1006,466,1571,23,8,5,3,2,0,0,3,0,0,0,2,0,0,240,8037
1,3,2000,1664,1920,370000,7,0,1033,491,1665,21,8,5,3,1,0,0,2,0,0,0,2,0,0,254,8521
1,3,2000,1507,1910,407000,0,1,0,7,2,1282,617,1873,26,4,6,6,2,1,2,2,2,0,0,260,8921
2,3,2000,1322,1910,510000,0,1,0,6,2,1204,583,1789,23,4,6,6,1,0,1,2,2,0,0,252,8659
2,3,1794,3003,1931,475000,0,0,1,6,2,1204,583,1789,23,4,6,6,1,0,1,2,2,0,0,252,8659
2,3,2000,1600,1950,510000,0,1,0,2,1,923,448,1351,21,5,5,5,0,0,1,1,3,0,0,248,8477
1,3,1200,1200,1920,410000,3,0,801,394,1165,22,5,4,5,1,0,0,2,0,1,1,3,0,0,244,8275
1,3,1200,1200,1920,525000,3,0,801,394,1165,22,5,4,5,1,0,0,2,0,1,1,3,0,0,244,8275
2,3,1720,1500,1925,485000,0,1,0,1,0,801,383,1213,17,5,5,2,0,0,1,1,2,0,0,247,8494
1,3,2000,1404,1920,445000,6,0,928,432,1389,18,7,4,2,1,0,0,2,0,0,0,2,0,0,240,8043
1,3,1600,2176,1920,365000,5,2,1468,743,2144,26,6,4,7,3,2,0,0,0,2,1,1,0,0,296,10254
2,3,940,1120,1920,413698,0,1,0,3,0,850,377,1253,18,6,3,4,1,0,1,0,2,0,0,254,8521
2,3,2000,1404,1920,260000,0,1,0,4,0,926,435,1356,18,7,4,3,1,0,0,0,2,0,0,260,8767
2,3,1888,1840,1910,550000,0,1,0,4,2,1236,581,1714,16,5,3,2,1,2,0,1,1,0,0,305,10549
1,3,2000,2090,1905,650000,0,1,0,4,2,1677,727,2275,32,8,5,8,2,2,0,3,3,0,0,309,10763
1,3,3000,1330,1910,715000,0,1,0,2,2,1391,563,1850,18,4,4,3,1,2,0,2,0,1,0,293,10043
1,3,2000,1436,1930,425000,0,1,0,2,2,1156,475,1564,17,4,4,3,1,1,0,2,0,1,0,292,9882
2,3,1600,1717,1945,487284,0,1,0,4,0,528,207,747,19,6,2,3,2,0,3,0,2,0,0,267,8902
2,3,2300,1300,1925,237000,0,1,0,4,0,499,210,790,24,6,3,8,1,0,2,0,2,0,1,275,9222
2,3,2400,1300,1925,305000,0,1,0,4,0,499,210,790,24,6,3,8,1,0,2,0,2,0,1,275,9222
2,3,2000,1300,1935,405000,0,1,0,4,0,499,215,792,23,5,3,8,1,0,2,0,2,0,1,279,9325
1,3,2900,1462,1910,649000,0,1,0,3,2,1421,553,1783,17,3,4,3,2,0,2,0,2,0,0,288,9790
2,3,2000,1248,1925,480000,0,1,0,2,2,1194,469,1532,14,3,2,0,2,0,2,0,4,0,0,281,9518
2,3,2000,1050,1925,120000,0,1,0,2,2,1194,469,1532,14,3,2,0,2,0,2,0,4,0,0,281,9518
2,3,1983,1326,1920,470000,0,1,0,2,2,1220,485,1573,15,3,2,0,2,0,3,0,4,0,0,287,9721
2,3,2000,1280,1920,459550,0,1,0,2,2,1220,485,1573,15,3,2,0,2,0,3,0,4,0,0,287,9721
1,3,2000,1536,1920,459800,0,0,889,369,1151,14,3,2,0,1,1,0,0,0,3,0,4,0,0,277,9219
2,3,3000,1264,1920,480000,0,1,0,2,0,869,359,1148,12,3,1,1,1,0,3,0,2,0,0,291,9748
2,3,2000,1264,1920,325000,0,1,0,2,0,869,359,1148,12,3,1,1,1,0,3,0,2,0,0,291,9748
2,3,2000,1264,1920,234900,0,1,0,2,0,869,359,1148,12,3,1,1,1,0,3,0,2,0,0,291,9748
1,3,2150,1363,1940,340000,2,0,720,286,971,17,5,2,1,1,0,0,2,0,4,0,2,0,0,289,9576
2,3,2565,1291,1940,348475,0,1,0,4,0,596,251,835,16,5,2,1,1,0,4,0,2,0,0,264,8783
2,3,1950,1304,1940,340000,0,1,0,4,0,596,251,835,16,5,2,1,1,0,4,0,2,0,0,264,8783
2,3,2000,2304,1925,455000,0,1,0,3,0,595,248,884,16,5,3,1,1,0,3,0,2,0,0,273,9085
2,3,1800,2100,1933,550000,1,0,0,3,0,595,248,884,16,5,3,1,1,0,3,0,2,0,0,273,9085
2,3,1800,1800,1933,115000,0,0,1,4,0,502,210,776,24,6,3,7,1,0,3,0,2,0,1,270,9058
2,3,2000,1568,1930,495000,0,1,0,4,0,502,209,776,23,5,3,7,1,0,3,0,2,0,1,273,9152
2,3,2000,1568,1930,567500,0,1,0,4,0,502,209,776,23,5,3,7,1,0,3,0,2,0,1,273,9152
2,3,2000,1568,1930,310284,0,1,0,4,0,502,209,776,23,5,3,7,1,0,3,0,2,0,1,273,9152
2,3,2033,1568,1930,475000,0,1,0,4,0,543,228,822,22,5,3,6,1,0,3,0,2,0,1,268,9007
2,3,2000,1492,1930,450000,0,1,0,4,0,543,228,822,22,5,3,6,1,0,3,0,2,0,1,268,9007
1,3,1500,1704,1910,500000,0,1,0,3,2,1515,594,1891,19,3,4,3,0,3,0,2,3,0,0,292,9784
1,3,2000,1512,1920,540000,0,1,0,3,2,1515,594,1891,19,3,4,3,0,3,0,2,3,0,0,292,9784
1,3,2250,1548,1920,185000,3,2,1523,551,1908,20,3,4,3,0,3,0,2,0,1,1,3,0,0,292,9764
1,3,2500,1280,1935,490000,3,1,1438,517,1828,27,5,5,4,1,3,0,3,0,1,1,4,0,0,313,10439
1,3,2000,1482,1925,499000,2,2,1352,497,1739,19,3,4,0,0,2,0,3,0,2,1,4,0,0,300,10010
1,3,2000,1248,1925,425000,0,1,0,2,1,1211,453,1617,27,5,6,1,2,2,2,1,6,0,1,316,10579
1,3,2000,1248,1925,500000,0,1,0,2,1,1211,453,1617,27,5,6,1,2,2,2,1,6,0,1,316,10579
1,3,1967,2256,1925,492000,0,1,0,2,1,1211,453,1617,27,5,6,1,2,2,2,1,6,0,1,316,10579
2,3,2000,1280,1930,470000,0,1,0014,401,1312,15,5,1,0,1,1,0,2,0,2,1,2,0,0,301,10008
1,3,2000,1568,1930,185000,2,0,1011,396,1363,15,4,2,1,1,0,0,2,0,2,1,2,0,0,316,10527
1,3,2000,1492,1930,479000,2,0,784,301,1029,19,6,3,1,1,0,0,2,0,3,1,2,0,0,311,10326
1,3,2000,1408,1930,535000,2,0,784,301,1029,19,6,3,1,1,0,0,2,0,3,1,2,0,0,311,10326
1,3,2000,1408,1930,215000,2,0,784,301,1029,19,6,3,1,1,0,0,2,0,3,1,2,0,0,311,10326
1,3,4000,1270,1945,548000,3,0,623,250,1033,27,6,5,6,1,0,0,2,0,3,1,2,0,1,297,9900
1,3,2400,1152,1920,360000,3,0,623,250,1033,27,6,5,6,1,0,0,2,0,3,1,2,0,1,297,9900
1,3,2400,1312,1920,465000,3,0,623,250,1033,27,6,5,6,1,0,0,2,0,3,1,2,0,1,297,9900
1,3,1800,1881,1940,699000,0,1,0,4,2,1361,498,1838,27,4,6,2,2,1,2,1,7,0,1,307,10335
1,3,1800,1881,1940,197000,0,1,0,4,2,1361,498,1838,27,4,6,2,2,1,2,1,7,0,1,307,10335
2,3,3000,1568,1920,556000,0,1,0,2,0,1076,400,1439,23,6,4,1,2,0,2,1,5,0,1,309,10375
1,3,1808,1296,1945,395000,4,0,585,245,1008,29,7,6,6,1,0,0,2,0,3,1,2,0,1,302,9999
1,3,1950,1290,1930,525000,9,2,1803,672,2375,48,9,7,6,1,3,1,6,0,2,1,9,2,1,262,9124
1,3,4000,1650,1930,700000,5,2,1473,545,1929,28,4,6,2,1,1,0,3,0,2,1,7,0,1,307,10454
1,3,3588,1975,1920,979000,8,2,1604,580,2685,43,5,7,6,2,3,1,6,0,2,1,7,2,1,264,9092
1,3,2000,1424,1930,604000,0,1,0,2,1,1224,452,2200,17,3,4,1,1,1,1,1,3,0,1,287,9696
1,3,2000,1424,1930,175000,0,1,0,2,1,1224,452,2200,17,3,4,1,1,1,1,1,3,0,1,287,9696
1,3,2000,1472,1930,223000,2,0,1038,372,1720,19,6,4,1,2,0,0,2,0,1,1,1,0,1,298,10027
1,3,2000,1408,1930,480000,2,0,1038,372,1720,19,6,4,1,2,0,0,2,0,1,1,1,0,1,298,10027
1,3,3000,1472,1925,520000,2,0,1038,372,1720,19,6,4,1,2,0,0,2,0,1,1,1,0,1,298,10027
1,3,2000,1380,1920,477300,3,0,960,336,1677,14,5,2,1,1,0,0,2,0,2,1,0,0,0,299,10113
0,3,2867,2897,1950,900000,8,0,634,231,1027,27,6,5,5,3,0,0,2,0,2,1,2,0,1,294,9741
1,3,2000,2180,1910,1320000,12,2,1823,771,2965,51,7,7,12,3,3,0,2,0,8,4,4,0,1,253,8700
2,3,6000,3172,1928,1595000,14,2,1745,728,2792,54,9,9,11,4,5,1,5,0,6,1,3,0,0,231,7904
1,3,5000,3373,1925,2025000,14,2,1745,728,2792,54,9,9,11,4,5,1,5,0,6,1,3,0,0,231,7904
1,3,2000,3848,1901,2400000,14,2,1745,728,2792,54,9,9,11,4,5,1,5,0,6,1,3,0,0,231,7904
1,3,2000,3848,1910,2250000,14,2,1745,728,2792,54,9,9,11,4,5,1,5,0,6,1,3,0,0,231,7904
1,3,2300,3087,1905,1850000,17,4,2038,843,3302,50,6,7,12,3,4,1,3,0,6,4,3,0,1,246,8492
1,3,1775,2304,1930,1550000,12,2,1484,652,2360,54,9,13,9,4,5,2,4,0,5,1,2,0,0,238,8128
1,3,2000,2700,1901,1415000,15,3,1894,853,3001,48,8,7,13,3,2,0,2,0,6,4,2,0,1,271,9251
1,3,2050,2700,1901,1500000,15,3,1894,853,3001,48,8,7,13,3,2,0,2,0,6,4,2,0,1,271,9251
1,3,1983,1272,1901,1199000,16,2,1608,657,2422,54,7,9,13,3,3,1,4,0,6,5,2,0,1,269,9276
1,3,2000,4056,1910,1750000,13,2,1725,790,2736,52,8,9,9,4,5,1,5,0,6,2,3,0,0,256,8778
1,3,3500,1680,1925,1200000,13,2,1725,790,2736,52,8,9,9,4,5,1,5,0,6,2,3,0,0,256,8778
1,3,3333,2353,1901,1100000,15,2,1841,799,2808,51,8,7,16,3,0,0,4,0,5,4,3,0,1,268,9193
1,3,5168,1806,1910,1750000,9,1,1556,725,2287,58,8,9,17,4,1,1,4,0,4,5,4,0,1,264,9014
1,3,2120,1601,2015,1685000,9,1,1556,725,2287,58,8,9,17,4,1,1,4,0,4,5,4,0,1,264,9014
1,3,8400,2462,1910,3450000,16,2,2039,943,3166,54,9,6,12,3,0,0,6,0,4,5,8,0,1,270,8994
0,3,2057,3514,1930,1375000,7,3,899,323,1283,40,6,5,12,1,5,1,1,0,6,0,0,3,0,276,9031
1,3,5000,2573,1899,2350000,6,2,1102,502,1683,36,6,3,12,1,4,1,1,0,6,0,0,2,0,278,9240
1,3,5808,3270,1920,695000,4,1,1399,659,2192,40,6,3,13,1,5,1,2,0,6,0,1,2,0,283,9497
1,3,1638,1768,1930,600000,12,3,2301,1141,3815,48,8,6,12,3,3,0,3,0,4,2,6,0,1,289,9707
1,3,1957,1760,1930,1205000,12,3,2301,1141,3815,48,8,6,12,3,3,0,3,0,4,2,6,0,1,289,9707
1,3,1957,1760,1930,750000,12,3,2301,1141,3815,48,8,6,12,3,3,0,3,0,4,2,6,0,1,289,9707
1,3,1547,1332,1930,480000,12,3,2301,1141,3815,48,8,6,12,3,3,0,3,0,4,2,6,0,1,289,9707
2,3,1553,2454,1920,2500000,14,3,2261,1143,3812,49,9,6,12,3,2,0,3,0,4,3,6,0,1,273,9169
1,3,2196,1488,1910,230000,17,1,1967,959,3064,49,10,8,12,3,1,0,2,0,3,4,6,0,0,277,9291
2,3,2538,2684,1931,772687,17,1,1967,959,3064,49,10,8,12,3,1,0,2,0,3,4,6,0,0,277,9291
1,3,5500,3045,1901,2662500,4,2,1242,561,1899,31,6,1,11,1,2,1,0,0,6,0,1,2,0,294,9739
1,3,7000,4947,1920,2150000,3,2,1509,656,2519,39,6,3,13,2,2,1,3,0,6,0,1,2,0,287,9502
1,3,2314,1684,1930,1425000,3,2,1752,812,3000,41,9,2,12,1,2,1,3,0,4,0,6,1,0,281,9347
1,3,2492,1684,1930,975000,3,2,1752,812,3000,41,9,2,12,1,2,1,3,0,4,0,6,1,0,281,9347
1,3,4128,1684,1930,4000000,3,2,1752,812,3000,41,9,2,12,1,2,1,3,0,4,0,6,1,0,281,9347
1,3,2475,2544,1930,1370000,3,2,1871,892,3184,35,10,2,9,3,0,1,3,0,2,0,4,1,0,285,9436
1,3,1593,2132,1920,1275000,4,2,2055,1013,3465,43,12,2,13,1,2,0,2,0,3,1,6,1,0,289,9695
1,3,2970,1932,1920,1150000,4,2,2055,1013,3465,43,12,2,13,1,2,0,2,0,3,1,6,1,0,289,9695
1,3,7104,1340,1925,1825000,11,2,1754,866,2596,42,9,5,13,2,1,0,0,0,2,4,6,0,0,279,9601
0,3,4080,12240,1931,3000000,6,2,2106,1059,3475,40,11,3,11,2,1,0,2,0,2,2,6,0,0,268,9015
1,3,3339,896,1901,775000,8,2,1923,948,3156,43,9,4,15,2,1,0,2,0,2,2,6,0,0,288,9685
1,3,4675,3001,1899,1525000,4,2,810,267,1248,24,4,4,7,2,2,0,1,1,1,0,0,2,0,317,10513
2,3,5000,2865,1899,2000000,0,1,0,3,2,967,376,1473,20,3,4,7,2,0,0,1,0,2,0,285,9474
0,3,1977,4000,1930,1800000,3,2,1771,825,3120,36,12,2,8,3,1,0,3,0,3,0,3,1,0,301,10214
0,3,1925,3420,1930,1800000,4,2,2017,992,3389,36,11,2,9,3,1,0,3,0,3,0,4,0,0,300,10075
1,3,1725,942,1910,800000,0,1,0,8,2,1770,869,2908,40,10,5,10,4,2,2,1,5,0,0,293,9894
1,3,1737,942,1910,435000,0,1,0,8,2,1770,869,2908,40,10,5,10,4,2,2,1,5,0,0,293,9894
1,3,1737,942,1910,250000,0,1,0,8,2,1770,869,2908,40,10,5,10,4,2,2,1,5,0,0,293,9894
1,3,1200,1728,1901,442000,3,1,1845,885,3224,38,11,4,10,3,1,0,3,0,3,0,3,0,0,291,9775
2,3,2200,1600,1930,783000,3,1,1845,885,3224,38,11,4,10,3,1,0,3,0,3,0,3,0,0,291,9775
0,3,33900,86360,2004,31000000,8,2,1838,856,3109,41,10,5,9,3,2,0,3,0,2,1,6,0,0,309,10515
1,3,2502,750,1930,400000,9,2,1854,886,3088,40,10,5,9,3,2,0,3,0,2,1,5,0,0,307,10399
0,3,3692,1516,1930,2700000,9,2,1854,886,3088,40,10,5,9,3,2,0,3,0,2,1,5,0,0,307,10399
1,3,5000,2700,1920,2050000,0,1,0,1,2,1219,473,2141,27,5,5,8,3,1,0,2,0,2,0,284,9426
1,3,2000,1305,1930,545000,0,1,0,4,1,1822,875,2969,29,8,3,7,2,2,0,4,2,0,0,281,9593
1,3,4000,2509,1905,1689000,0,1,0,7,2,806,284,1281,22,3,6,5,2,2,1,2,0,0,0,287,9903
1,3,4000,2104,1905,2075000,0,1,0,8,2,961,354,1474,24,4,6,6,3,1,1,2,0,0,0,286,9901
1,3,4500,1926,1905,1270000,0,1,0,7,2,1037,380,1607,22,4,6,4,3,1,1,2,0,0,0,274,9422
1,3,3375,2212,1905,1800000,0,1,0,7,2,1037,380,1607,22,4,6,4,3,1,1,2,0,0,0,274,9422
1,3,5100,3471,1910,1200000,0,1,0,8,2,1100,421,1762,22,4,7,2,3,1,1,2,0,1,0,285,9835
1,3,6000,3020,1899,1750000,0,1,0,5,3,1317,502,2100,26,6,6,2,4,1,1,3,0,2,0,297,10146
1,3,2084,1391,1920,425000,5,2,1893,844,2723,22,4,3,6,1,2,0,3,0,0,0,3,0,0,312,10780
1,3,2050,1520,1910,450000,5,2,1893,844,2723,22,4,3,6,1,2,0,3,0,0,0,3,0,0,312,10780
1,3,3000,1840,1899,1150000,0,1,0,10,2,883,334,1421,25,3,8,4,2,3,1,2,0,1,0,286,9923
1,3,5000,4049,1905,2725000,0,1,0,9,2,1109,426,1711,24,5,6,2,3,1,1,3,0,2,0,302,10445
1,3,5000,3340,1910,1433250,0,1,0,9,2,1055,388,1628,27,6,8,2,2,1,2,3,0,2,0,303,10406
1,3,3075,1410,1899,515000,8,1,1870,760,2553,38,5,7,7,2,5,0,4,0,0,0,7,0,1,288,9829
1,3,5000,3008,1910,1349000,12,1,1338,530,1913,47,8,8,6,0,3,2,6,0,3,1,8,2,0,255,8730
2,3,2862,2823,1933,875000,10,2,1801,653,2996,51,7,9,6,1,4,2,5,0,2,1,11,2,1,260,8987
1,3,2500,1890,1910,575000,11,2,1785,640,2938,52,7,9,7,1,4,2,5,0,2,1,11,2,1,256,8815
1,3,4095,1952,1915,430000,9,2,738,326,1125,18,2,6,4,0,1,1,0,0,0,0,4,0,0,293,9900
1,3,5250,2977,1910,1475000,9,2,738,326,1125,18,2,6,4,0,1,1,0,0,0,0,4,0,0,293,9900
1,3,4800,2757,1915,2000000,9,2,738,326,1125,18,2,6,4,0,1,1,0,0,0,0,4,0,0,293,9900
1,3,4200,2704,1910,410000,9,2,738,326,1125,18,2,6,4,0,1,1,0,0,0,0,4,0,0,293,9900
1,3,5000,3208,1915,1925000,0,1,0,9,2,820,329,1156,24,5,5,5,0,1,2,2,3,0,0,298,10121
1,3,4000,2394,1930,800000,11,2,934,374,1269,41,7,7,4,1,3,2,5,0,3,1,6,2,0,235,8028
1,3,4000,2742,1915,800000,12,1,1130,448,1783,50,8,8,5,1,4,2,4,0,3,1,12,2,0,243,8225
1,3,4000,2304,1925,990000,12,1,1254,491,2377,53,9,10,5,1,4,2,5,0,3,1,10,2,1,234,7938
1,3,1800,1920,1930,550000,12,1,1254,491,2377,53,9,10,5,1,4,2,5,0,3,1,10,2,1,234,7938
1,3,4000,2544,1920,935000,12,1,1254,491,2377,53,9,10,5,1,4,2,5,0,3,1,10,2,1,234,7938
1,3,4000,2440,1925,803000,12,1,1254,491,2377,53,9,10,5,1,4,2,5,0,3,1,10,2,1,234,7938
1,3,1581,2116,1910,999000,12,1,1511,598,2716,58,9,10,8,1,4,2,7,0,3,1,10,2,1,234,7850
1,3,1367,1074,1910,1200000,0,1,0,6,1,262,91,387,25,6,5,4,0,4,0,1,1,2,1,230,7803
1,3,2550,2140,1905,1775000,0,1,0,6,1,215,68,339,37,7,8,6,1,5,0,1,1,5,2,228,7666
1,3,1250,1440,1899,1335000,0,1,0,8,1,292,102,408,24,6,4,4,1,3,0,1,1,2,1,229,7687
1,3,1850,864,1899,1125000,0,1,0,8,1,292,102,408,24,6,4,4,1,3,0,1,1,2,1,229,7687
2,3,1550,2400,1931,950000,9,1,503,226,804,23,1,7,3,5,1,0,2,0,4,0,0,0,0,242,8449
1,3,2550,1280,1920,950000,9,1,503,226,804,23,1,7,3,5,1,0,2,0,4,0,0,0,0,242,8449
2,3,2146,1722,1920,1225000,0,1,0,10,1,485,200,775,23,2,7,2,4,3,0,2,1,1,0,259,8917
2,3,943,1600,1899,480000,10,1,521,225,851,22,2,7,2,4,1,0,2,0,4,0,0,0,0,271,9394
1,3,842,1152,1905,998000,12,2,521,183,739,40,5,6,10,2,5,1,2,1,5,1,0,2,0,275,8970
1,3,3000,2399,1920,1232500,10,2,547,220,726,19,3,6,1,2,2,0,1,1,1,0,0,2,0,243,8073
1,3,2100,1476,1910,1285000,10,2,641,244,833,28,3,6,4,2,5,0,1,1,3,1,0,2,0,266,8869
1,3,1800,1632,1910,1356000,10,2,641,244,833,28,3,6,4,2,5,0,1,1,3,1,0,2,0,266,8869
1,3,4000,2370,1925,1200000,10,2,673,237,884,35,4,5,8,2,5,1,1,1,5,1,0,2,0,278,9136
1,3,3000,1815,1925,1447000,10,2,673,237,884,35,4,5,8,2,5,1,1,1,5,1,0,2,0,278,9136
1,3,1642,1064,1901,999000,11,2,665,234,899,35,4,5,8,2,5,1,1,1,5,1,0,2,0,277,9064
1,3,2500,1188,1901,1060000,10,2,667,229,902,34,4,4,8,2,5,1,1,1,5,1,0,2,0,282,9233
1,3,2500,1080,1901,620000,10,2,667,229,902,34,4,4,8,2,5,1,1,1,5,1,0,2,0,282,9233
2,3,1800,1435,1930,999000,0,1,0,9,1,624,257,856,19,4,3,1,3,3,0,2,1,1,0,267,9141
2,3,1280,1152,1915,670000,0,1,0,7,2,554,243,916,31,4,8,2,5,1,0,6,0,4,0,279,9566
2,3,1600,1320,1925,135000,0,1,0,7,2,545,244,897,28,4,9,2,3,1,0,4,0,4,0,286,9845
2,3,2000,1495,1930,1375000,0,1,0,9,1,630,287,908,17,2,4,1,4,1,0,2,0,2,0,272,9279
2,3,2500,1572,1930,1100000,0,1,0,9,1,630,287,908,17,2,4,1,4,1,0,2,0,2,0,272,9279
2,3,3000,1640,1910,1499000,0,1,0,6,1,785,320,1074,16,3,2,4,3,2,0,0,0,1,0,278,9475
2,3,3200,2130,1920,1150000,0,1,0,5,2,773,314,1115,15,3,2,3,3,2,0,0,0,1,0,284,9651
2,3,4500,2452,1901,1950000,0,0,1,5,2,763,298,1147,15,3,1,4,4,2,0,0,0,0,0,280,9433
2,3,1440,1332,1925,675000,0,1,0,5,2,625,292,1009,18,4,2,1,5,1,0,3,0,1,0,258,8889
1,3,1717,1188,1915,749000,3,1,656,303,1052,18,5,1,3,5,2,0,0,0,2,0,0,0,0,266,9202
1,3,1717,1188,1915,900000,3,1,656,303,1052,18,5,1,3,5,2,0,0,0,2,0,0,0,0,266,9202
1,3,2000,1786,1925,830000,3,1,656,303,1052,18,5,1,3,5,2,0,0,0,2,0,0,0,0,266,9202
2,3,2410,1280,1925,1625000,0,1,0,4,1,733,258,1135,15,3,5,2,2,2,0,0,0,0,0,298,10083
1,3,4007,1814,1915,1550000,2,2,368,176,633,42,7,8,6,5,0,1,8,1,6,0,0,0,0,260,8756
1,3,2003,1564,1925,1135000,3,2,474,224,869,38,8,6,5,6,1,0,7,0,5,0,0,0,0,275,9336
0,3,5873,8976,1930,2080995,3,1,574,287,950,21,6,4,1,5,1,0,2,0,2,0,0,0,0,270,9339
1,3,1360,1655,1930,799000,5,1,709,310,1179,24,5,7,5,3,2,1,1,0,0,0,0,0,0,302,10436
2,3,6545,2880,1933,3222500,1,0,0,7,2,742,326,1259,28,7,6,8,2,3,1,0,0,0,0,297,10403
1,3,2591,1312,1920,855000,0,1,0,7,1,739,327,1268,29,8,7,7,2,2,1,1,0,0,0,302,10525
1,3,2550,1576,1925,960000,3,2,548,263,933,32,9,5,6,4,1,1,0,1,3,0,0,2,0,272,9318
1,3,1918,1782,1905,775000,5,1,496,230,937,29,7,7,4,4,1,1,0,1,2,0,0,2,0,260,8950
2,3,4450,1710,1989,2700000,1,0,0,6,2,707,297,1171,22,5,5,7,0,2,1,1,0,0,0,288,9924
1,3,5051,1600,1901,1350000,5,2,487,219,893,30,10,5,4,3,1,1,0,1,3,0,0,2,0,260,8828
1,3,2072,1187,1910,780500,8,2,554,262,1067,26,6,6,4,2,1,2,0,1,2,0,0,2,0,278,9599
1,3,3506,1280,1910,725000,8,1,551,251,1028,32,8,8,6,2,1,2,0,1,2,0,0,2,0,284,9745
0,3,4616,2760,1933,750000,8,1,551,251,1028,32,8,8,6,2,1,2,0,1,2,0,0,2,0,284,9745
2,3,1503,1200,1925,715000,0,1,0,9,1,588,257,1052,32,8,10,7,2,1,1,0,0,2,0,301,10358
2,3,2604,2266,1930,1400000,3,1,373,160,612,45,8,7,5,7,0,1,8,1,8,0,0,0,0,253,8489
2,3,3005,2100,1920,1584791,0,1,0,3,2,351,141,705,39,10,6,4,4,0,1,8,1,4,0,249,8393
1,3,2003,2178,1920,850000,5,2,385,131,707,32,10,5,2,4,0,2,3,1,3,0,0,2,0,241,8190
1,3,2003,1389,1920,1250500,5,2,385,131,707,32,10,5,2,4,0,2,3,1,3,0,0,2,0,241,8190
2,3,2600,1652,1930,2050000,0,1,0,4,2,326,112,626,37,9,8,4,4,0,2,4,1,4,0,244,8412
